quote	source
Heartache, guilt, loss, grief, these things, too, are monsters.	Chelsey Philpot
I love hard and still haven’t a clue what it feels like…	Alexandra Elle
You are always going to love him, she said " You're stuck with that.	Leslie Connor
I have been loved," she said, "by something strange, and it has forgotten me.	Djuna Barnes, Nightwood
I have loved and lost many a time, but along the way I have found myself.	Lyrical Treasure
HE didn't realize she was his everything until he gave her up for everything else.	Alexandria Heather
It's what happens. You love, then you lose, then you die. Even if you survive, you die.	J.J. Abrams, S.
There is no loss bigger than losing your manuscript, not even love.	Himanshu Chhabra
If you keep picking at that scab on your heart, it won't heal.	Antonia Perdu
Love left to languish will bear poisonous fruit.	Sarah Winter
She let him go once. Every day demands that she release him over and over again.	Julianna Baggott, Fuse
If love would die along with death, this life wouldn't be so hard.	Andrew Vachss
I'm so in love with you I can't stand up.	Kim Addonizio
Do not grieve so much for a husband lost that it wastes away your life.	Euripides, Medea
You can't know how much a mother loves.	Jessica Fortunato, Steam
The dead sit at our tables long after they have gone.	Mitch Albom, For One More Day
Death is only final when you know you're not going to see them again!	Evinda Lepins
Reshuffllng of thoughts - facilitates a refreshed perspective to a mental deadlock!	Deeba Salim Irfan
Love is an engraved invitation to grief.	Sunshine O'Donnell, Open Me
Food is symbolic of love when words are inadequate. 	Alan D. Wolfelt
If he didn’t love so deeply, he couldn’t grieve so deeply. But he’s drowning in it.	Dee Henderson, The Protector
When I saw your strand of hair I knew that grief is love turned into an eternal missing.	Rosamund Lupton, Sister
Know that I fought Trinity, with every part of me, I fought	M.R. Field, Fractures
You can do the impossible, because you have been through the unthinkable.	Christina Rasmussen
Did you really cease to love a person because you had been treated cruelly?	W. Somerset Maugham
You hold an absence at your center, as if it were a life.	Richard Brostoff
The deeper the grief, the more radiant the love.	Jalaluddin Rumi
In order to heal, you have to first be broken.	Renee Dyer, Eyes Wide Open
How will I go on without her?!The answer was very simple: one day at a time.	Jeff Erno, Dumb Jock
I can’t shake you.	Sina Queyras, MxT
The heart aches in brokenness as daylight awakens the pain of knowing.	Phindiwe Nkosi
The ticking of the clock has gotten so loud." - 74	Robin Romm, The Mercy Papers
It is the heart that has been pierced that feels the most.	Jocelyn  Murray
The sadness which reigned everywhere was but an excuse for unfailing kindness.	Victor Hugo, Les Misérables
I am falling in love with heavenly Father.	Lailah Gifty Akita
Life is the lover's responsibility.	Lailah Gifty Akita
If you can be, be yourself.	Lailah Gifty Akita
You look beautiful in your best self.	Lailah Gifty Akita
Love is the greatest gift, we can give to each other.	Lailah Gifty Akita
Love gives life.	Lailah Gifty Akita
Love keeps the heart forever warm.	Lailah Gifty Akita
Don’t stop saying, “I love you” to your soul mate.	Lailah Gifty Akita
Kiss softly.	Lailah Gifty Akita
Holy hug is a soft kiss.	Lailah Gifty Akita
Of all the gifts, love is the greatest gift.	Lailah Gifty Akita
Experiment the power of love.	Lailah Gifty Akita
Should we hold back from loving people because we carry the wounds of a few?	Sydney Scrogham
To be who you are, let go of what you were.	Jennifer Sodini
Be inspire to explore your world.	Lailah Gifty Akita
Nothing that you confess... can make me love you any less.	Anonymous
Ohana means family. Family means nobody gets left behind or forgotten	Lilo and stitch
I'd love to wrap myself inside your sadness and pretend it is mine	Amy Reed, Crazy
Flower will not grow, if the stem doesn't allow	Nayreil
Sometimes when you are sad enough , your soul becomes ghost for you.	Irfan ishaq
my life is just waiting for you to get started.	Nina LaCour, Hold Still
That’s what I’m trying, sir… getting my life.	Faraaz Kazi
Sometimes things have to get worse before they get better.	Shannon Messenger, Lodestar
For a brokenhearted person memories are the vital parts of misery	Munia Khan
For love, we live For love, we dieFor love, we dream and get ready to be lied	Yarro Rai
I've never been the most important person to anybody - not even myself.	Ranata Suzuki
I've never been the most important thing to anybody - not even myself.	Ranata Suzuki
Nothing in my life has ever felt so good yet it hurt so achingly bad.	Colleen Hoover, Maybe Someday
Maybe the only thing that lasts is our memories of each other...	Sylvain Reynard
Its not just your truth, Its my bad too...	Ar Rohit bhardwaj
I wanted to go to him to save me, but he was the one who broke me this time.	Nikki Rowe
How did someone help someone whose world was breaking apart?	Kristine E. Brickey
No tears come, only memories. Memories and regrets.	Anna Todd, After We Fell
No teas come, only memories. Memories and regrets.	Anna Todd, After We Fell
I'll love you even when I can't""I'll love you even when I shouldn't	Colleen Hoover, Confess
Can't Live with you and I Cannot Live without you	Yasswant
How my heart and soul are feeling Today?In pieces	Paul karan
It's alright to die cause death is the only thing you haven't tried	Ed Sheeran
Sadness indeed paves to a philosophical thinking.	Rohan B Rebello
Silence is a girls loudest cry	Nihal Ashraf Aame
Getting wet in the rain will not make you happy always.	Pradeep Panayal
A loyal heart is true to love even if it is full of scars	johncen k.m.f vergara
Not the sadness, but the happiness, is the ultimate purpose of life.	Debasish Mridha
When perception will change then today's sadness could be tomorrow’s happiness.	Debasish Mridha
A little madness shows the way to happiness.A little kindness can heal the sadness.	Debasish Mridha
I gave her love she gave me words to write	RazaZaidi
I'm sorry for ignoring you but that's all I can do. Iloveyou	Taimoor Madni
That house was no longer my home.	Alisa Mullen, Unsettled
Maybe his nightmare had been about me.	Marie Lu, Prodigy
I always knew death of this relation would beat the death out of my life.	M. Ali
I wanted love to conquer all. But love can't conquer anything.	David Levithan, Every Day
Rise or Fall you must not stop doing.	pavankumar nagaraj
When I tell you "forever", I mean it.	marge baylin
sometime am feeling proud to have ma loneliness but, sometime am so feeling lonely.	kamal parvez
but sing no more this bitter tale that wears my heart away	Homer, The Odyssey
It's sad how people change from the best to the beast.	Geneva Caballero Uy
Sometimes, when we are sad, we have to do the opposite of sad. Sometimes we have to sing.	Daisy Whitney
The heart that bleeds, knows true heartache.-Nina Jean Slack	Nina Jean Slack
Tell me you won't go, tell me you'll stay forever, tell me you love me.	C.J. Archer, The Medium
Oh Mom, it turns out my knight in shining armor was just some liar in tinfoil.	Taryn Plendl, In My Arms
A thousand laughing suns are in your eyes. A thousand crying stars in mine.	Ahmad Shamlou
Dear, sweet, beautiful girl,	Tahereh Mafi
He stopped complaining, but now I was annoyed. I went to the roof and drank alone.	Haruki Murakami
Love is a Beautiful Thing that makes us to Adjust ourselves Forcely	Avinash Babu Anand
Part of me aches at the thought of her being so close yet so untouchable.	Nicholas Sparks, Dear John
Love is unity of two souls but one spirit.	Lailah Gifty Akita
No matter how much you love someone, time heals your pain and your death wish.	Parul Wadhwa, The Masquerade
Love is like breathing. You can't live without it.	Imania Margria
Seek the light and live in love.	Lailah Gifty Akita
Deal lovingly with others and especially yourself	TemitOpe Ibrahim
For of what account are Truth and Love when Life itself has ceased to seem desirable?	Clifford Whittingham Beers
Oh love let me embrace your path, to be remembered in kindness so I may remain immortal	Micheline Jean Louis
I am not the #Prisoner of my #Past neither the #Slave for my #Future !!	Tushar Upreti
We are a product of love, so why stop loving ourselves and others.	Vishwas Chavan
Live today. You never know when tomorrow will be a day too late.	Rochelle Carlton, The Quilt
Do what you love and love what you do, with excellence.	Onyi Anyado
Life is must be filled with endless hope.	Lailah Gifty Akita
A life without books is like body without a soul.	Lailah Gifty Akita
To live and love is a great fulfillment.	Lailah Gifty Akita
To understand and to know someone better, you need is to love them first	Rocky13
Mighty waves of oceans live in my soul to encourage me to survive.	Harshada Pathare
It is not death that allows us to understand each other, but poetry.	Ursula K. Le Guin, Lavinia
I was the Titanic and the iceberg all at once.	Jeremy Glass
You can chase love. If you are lucky enough to catch it…is it really yours?	Brian MacLearn
If you don't dream, then you don't really sleep.	Joshua Suya Pelicano
A woman is a loving mother, a gorgeous daughter, and beautiful angel of imagination.	Debasish Mridha
Does the imagination dwell the most Upon a woman won or a woman lost?	W.B. Yeats
Reciprocation was a pretty powerful stimulant to the imagination.	Nick Hornby, About a Boy
Watch over Honoria, will you? See that she doesn’t marry an idiot.	Julia Quinn, Just Like Heaven
Sometimes your friends are your lovers, or have been at one time.	Stephanie Seymour
I want you to make a list of all of your favorite things, and I want to be on it.	Tahereh Mafi, Ignite Me
She had platonic all but tattooed on her forehead.	Kelly Moran, Tracking You
Being Friends with you was great but now we will be lovers.	V.Kuotsu
Being friends with you was great but now we will be both friends and lovers.	V.Kuotsu
Good friends laugh at you, laugh with you, but never laugh behind your back.	Saru Singhal
When you truly love someone, you can’t just be their friend.	Berry Quotes
He’s more how Satan would look if he needed to seduce you into drowning a baby.	Eve Dangerfield, Locked Box
In any case, it is not love, but friendship, that truly eludes you.	Michael Chabon
Don't be afraid to take the first step and speak from your heart.	Nash
I'm still the same guy you knew five minutes ago.	Kelly Moran, Exposure
It hurts to get things out in the open, but it hurts even more not to.	Chrissy Moon, DayDreamer
Different people become different people when they meet different people.	Timothy Joshua
Memories stuck under our shoes like thick mud	Mohamed Ghazi, Honest
I’m glad we can be friends.”There’s that word again. It’s like a safe word.	Alex Rosa, Tryst
Who and what you affiliate your life around will likely determine who you'll become.	Jonathan Anthony Burkett
Friends are like books, you learn from every one of them.	Debasish Mridha
You'll know I love you when you're not making out with my friends.	Sarah Enchanted
A friend is someone who will always be there for you, in good and hard times.	Lailah Gifty Akita
Time flows smoother when you are with people you love.	Charlotte Eriksson
I am an autismo, GOML M9	Autismo GIsmo
Empathy and a huge imagination explain a lot of mysteries in the universe.	Shannon L. Alder
Your friends love you for who you are. Your family loves you for what you are.	Mokokoma Mokhonoana
Tomorrow, smile at a perfect stranger and mean it.	John O'Callaghan
I will always love my mother for who she is and everything she does.	Tammy-Louise Wilkins
There are people who are simply gifts to everyone they meet.	Clara Kramer, Clara's War
People first become friends, and then they love each other.	Priest Nicolae Tanase
I shudder at the thought of men....I'm due to fall in love again	Dorothy Parker
If so many men, so many minds, certainly so many hearts, so many kinds of love.	Leo Tolstoy
How many men with a microphone can tell you what he loves the most?	The White Stripes
I have only men like you n novels, men who lived their own idiosyncrasies.	Sachin Kundalkar, Cobalt Blue
The harder they fall, the harder they become.	Nancy Glynn
To own a man's heart is to own him for life.	Nancy Glynn
Love is for real men.	Charles Bukowski
The only man worth having in your life is one that would never let you walk away.	Shannon L. Alder
I don't think you can judge every man by one or two who let you down	Mia Sheridan, Kyland
Men are good when they get lost in the beauty of love.	Debasish Mridha M.D.
Men want to be known and loved for who they are by women.	Suzette R. Hinton
No one can be your sun, moon, or stars until you have your own world.	K.M.Docherty
A fantasy is nothing more than a dream you were too scared to chase.	Shannon L. Alder
...he's just so out-of-this-world. They don't make them like that anymore.	Camilla Isley, I Wish for You
She met a dashing man —he was, a dash.	Timothy Joshua
A man worth loving is a man that never makes you feel like an option.	Shannon L. Alder
A woman is a mother, daughter, and sister of every man; how she could be wrong?	Debasish Mridha
Women most often have a difficult enemy and she is a woman and not a man.	Debasish Mridha
Women dream a lot and man is the prince of that dream land.	Debasish Mridha
The creator created women to control those wild, uncontrollable, intriguing men.	Debasish Mridha
If there were no women then men would still be living in the jungle.	Debasish Mridha
A woman always wants to change her man but a man wants her to be unchanged.	Debasish Mridha
The true wealth of a man is not what's in his pocket, but what's in his heart.	Unarine Ramaru
Most often women want happiness and men want wilderness.	Debasish Mridha
No man can ever admire a woman the way she admires herself.	Meeta Ahluwalia
I have only met men like you in novels, men who lived their own idiosyncrasies.	Sachin Kundalkar, Cobalt Blue
Ah! A man who doesn't know how to watch love is so silly. You really need a lesson.	Rachilde, The Juggler
Men come and go. They lie, or die, or leave you. 	George R.R. Martin
In the men I love heroes, in the work I love heroism	Amit Kalantri
Love Is How You Dress	Maurys Gaucho
Love Is How You How You Dress	Maurys Gaucho
Ben & Jerry's Lifestyle: Lots of options, exciting flavors and never repeating a scoop.	C.S.  James, Blue Ice
Who she walks with, will tell you if she's worth it.	Dustin Cruz
Love is bold. Love is blind.	Arzum Uzun
It is not what a man is capable of doing, but what he chooses to do that is important.	Honor Raconteur, Jaunten
A man is always afraid of a woman that loves him too much	John Gay, The Beggar's Opera
Men were born to protect and love, and our women help us to serve a higher purpose.	Missy Lyons, Alien Promise
But I tended not to date men who ever showed up for me.	Kimberly Novosel, Loved
There is always hope for man or dog in life if only they be cute	Chris Pariseau
The best way to hold a man is in your arms.	Mae West
Every Day is Canada Day for new Canadians	Maureen Haddock
When I stopped to take a breath, I noticed I had wings.	Jodi Livon
I am love and light in action.	Jodi Livon
Live what you love and what you love will fill your life.	Jodi Livon
I'd like to run away from you, but if you didn't come and find me.... I would die.	Anna Fraser
Businesses grow when they are well loved!	Blaze Lazarony
Do not compromise on the quality and your customers will not negotiate on the price.	Amit Kalantri
To find your way you must first take the steps	Martin Powell
To satisfy a want or a need, you must first go for it	Martin Powell
Have an attitude of positive expectation.	Germany Kent
Don't work for something in Exchange, Work on something for a Change.	Kevin Awad
Eat, as nobody is watching. Enjoy food like that’s the only thing left in your world.	Nikita Dudani
If you were food, you would be corn. I dont know why, i just sense corn in you.	Lizbeth Mori
Life is too short. Love is so important.	K~Terror
You are never so lost that your angels cannot find you.	Jeff Rees Jones, Angel Bright
Any perceived 'rejection' is simply a 're-direction'.	The Truth
Spend every second of every day together as a moment that could never be replaced.	yel
Hope is the damnedest of all feckless emotions.	Noorilhuda, The Governess
The pursuit of dreams is the fulfillment of the scriptures.	Lailah Gifty Akita
Bliss ThrivesFrom within,Deep insideWhere Love dives.	James Josue, Love Is Alive
Give them time to think things over.	AceQwetyu
you are responsible for you own happiness	Tshikororo Raymond
If you have good sex, you've done a lot right in life.	Rebecca Murphy
Never stop believing, have your own happy end.	Anush Yepremyan
In dreams and in love there are no impossibilities.	Janos Arnay
Dear billion dollar eyes they are a paupers dream	Amit Abraham
every dream I have about kissing you ends with blood on my hands.	Trista Mateer, [Redacted]
Fuck.Major fuck fuck fuckity fuck.Fuck	Giovanna Fletcher
You're like a dream I never want to wake up from, but I; I'm insomniac!	Ahmed Mostafa
You were my dream and I was just your fantasy.	Nikki Rowe
Can angels lie spine to spine?If not, how they must envy us humans	Kamila Shamsie, Kartography
She had said he had been driven away from her by a dream...	Joseph Conrad, Lord Jim
I didn’t want to dream of you anymore, so I quit sleeping.	Efdal Korkmaz
To be a success, water your dream with optimism and love.	Debasish Mridha
Happiness is there when your dreams, hopes, and desires are compatible with your actions.	Debasish Mridha
I am free to dream.I am free to love.I am free to write.	Lailah Gifty Akita
I am from small town but not with small dreams.	Prakhar Srivastav
There is only Love -- and Stories. All else is but a shadow dream.	Vera Nazarian, Cobweb Forest
In my dream I drank fully of water, but when I woke, I was thirsty." Ned Low	Patricia Goodwin, Dreamwater
You’re my favorite person of all time,I see something more beautiful than the universe.	Adel Abouhana
reach for the stars because even if you fall there are always the clouds to catch you	Ella Corbett
Doesn't love have to be tested by reality and time, or else isn't it only a dream?	Jo Beverley, Winter Fire
Alexei was a dream of something more... He was a reminder that I could be so much more...	Lada Ray, Gold Train
You've won the evolutionary lottery: You're a vampire. Let's go to Disneyland!	J.R. Ward, Dark Lover
I think we need to have a little talk, woman to skank.	Jeaniene Frost
If you were Catholic, you'd singe the ears of the priest you confessed to.	Jeaniene Frost
Hell won't be so bad, you know. After all, I'll be there to keep you company.	Tess Oliver, Camille
Too late Bella. Now, it's too late. Show me.	J.R. Ward, Lover Awakened
This love is so deep it cannot be undone.	Rebecca Maizel, Stolen Nights
If the other person says "Fuck Off," well, then, deal. Move on.	Richelle Mead
No shifting in my car Blake,I don't want slobber all over my seats." Neesa	C.T. Todd
I want to leave all my friends and the sunlight for a small, rainy town.	The Harvard Lampoon
Unfortunately for you love, I take my pleasure with a shot of pain	Keri Lake, Somnium
Eternal love or eternal damnation .. Tears of Crimson	Michelle Hughes
Your heart can't be in two places at once, at least not while maintaining a relationship.	Jordan Deen
I would change the way humans interpreted the word vampire, forever.	Lauren Hammond, Love Sucks
his shirt had more wrinkles than a smoker's lips	Diana Rowland
His lazy grin incinerated the rest of my heart.	Jordan Deen
She smiled at him, and he stopped breathing.	Allie Burke, Violet Midnight
more money than the crooks at Enron and less taste than a drunk after a bottle of tequila	Maria Lima
she would have got a gold medal in social climbing if it was an Olympic sport	Marlene Perez
We’re not exactly heavenly angels. More like prison inmates with wings.	Keri Lake, Somnium
Been dead, done that got a fricken t-shirt	P.C. Cast, Burned
He was one of those capital M Men.	Lauren Dane, Chaos Burning
We are all beings of our own creation.	B.C. Sirrom
You’re asking me? The Whack-O from loony town!” she snapped at him.	Beth Bares
He was just so gorgeous, erotic, and intimidating at the same time,” she said, grinning.	Beth Bares
He should have known. She was the only wanna be immortal he’d ever known.	Beth Bares
Be careful what you wish for...	Beth Bares, Dreams of Reality
Had I just made a date with a tatted up bat wielding miscreant?	Holly Hood, Ink
Life was sucked from me, not any life, my life. And so it goes…..	Holly Hood, Letters to You
I was 17 years old when I was killed by a vampire"-Ruby Kennedy from My Handsome Vampire.	Vianka Van Bokkem
Well, I guess I picked wrong then. Jesse doesn't like girls.	Holly Hood, Ink
I've never claimed to be civil," he said with a soft growl, flashing his canines.	Katie Reus, Lover's Instinct
I know you’re afraid of me. I can smell your fear, and I actually kind of like it.	Krystyna Allyn, Finding Kylie
He who rides a tiger is afraid to dismount.	Thea Harrison, Spellbinder
As my daddy would say, time to start the killin	Shelly Laurenston, Bite Me
You should've mentioned you were bringing a beautiful woman. I would've combed my hair.	Lisa Kessler, New Moon
The wolf demands her mate. But the woman loathes the man.	Lisa Kessler, New Moon
Your music hurts, the way sunshine hurts when you’ve existed for a long time in darkness.	Thea Harrison, Spellbinder
ANSON: I’ll work on making it enough. And I’ll work at being enough. For you.	T. S. Joyce
I can’t sleep without you by my side.	Chudney Thomas, Full Force
There is no home without you.	Brooklyn Ann, Wynter's Bite
Is the werewolf community so afraid of one little half human?	Chudney Thomas, Full Force
She was a woman without a family. A woman without a pack. A woman alone.	Chudney Thomas, Full Force
He leaned his forehead against hers. “Tell me you want this.	Chudney Thomas, Full Force
I need you more than I need the sunshine.	Brooklyn Ann, Wynter's Bite
By the time your training is complete, you'll come on command my defiant queen.	B.A. Rhea, Eternal Night
Science is just as important as magic.	Donna Grant, Firestorm
There would never be anyone else. Not if he lived a thousand lifetimes.	Katie Reus, Saved by Darkness
The woman lived inside him, was his mate.	Katie Reus, Saved by Darkness
You know, being bitten by a vampire one week before prom really sucks. No pun intended.	Mari Mancusi, Boys that Bite
Do they send all of you jaguars through some elitist asshole training course?	Lisa Kessler, Wolf Moon
We weren’t allies, but not being enemies was close enough for me.	Lisa Kessler, Wolf Moon
There are worse things than death.	Erin Kellison, Until Dawn
Did you get any blood on your breasts? I’m willing to go the extra mile.	Dannika Dark, Keystone
For the record…” I took her hand and held it up. “These are the only hands I want on me.	Lisa Kessler, Wolf Moon
One night. May the best witch win.	Erin Kellison, Until Dawn
Apparently, she was going to visit an evil witch with a scary poet vampire.	Erin Kellison, Until Dawn
He shook his head. "Those waves are begging us to ride them. Talking can wait.	Lisa Kessler, Legend of Love
I'm the king of bad ideas.	Lisa Kessler, Legend of Love
If we're not naked soon, I'm going to lose my fucking mind.	Lisa Kessler, Legend of Love
That kiss...""You've already given me better than I've ever had.	Lisa Kessler, Legend of Love
Good shot.”“Not really. I was aiming for his balls.	Laurann Dohner, Smiley
You make me want to be.	Lisa Kessler, Legend of Love
You're a good man, Hunter.	Lisa Kessler, Legend of Love
He didn’t utter threats. He delivered promises.	Katie Reus, Dark Protector
It’s all or nothing with me. Make sure you know what you want.	Katie Reus, Dark Protector
It’s like I’ve walked into the fucking Twilight Zone,” she murmured…	Katie Reus, Dark Protector
What do you think about having some orgasms to celebrate?	Thea Harrison, Moonshadow
Maybe having great sex just made a werewolf’s nose work better…	Paige Tyler, Wolf Unleashed
You're killing me, little human.	Shelly Crane, Altered
We aren't taught to mourn. We're told to forget.	D.R. Hedge, The Geri Rogue
You are my heaven. I just never knew I’d find it here on Earth.	Nancee Cain, Tempting Jo
I will give you my days... but, my dear sorceress, your nights are mine.	Bec McMaster, Shadowbound
Get your fang boner under control. Your freaking out my person	Alanea Alder, My Guardian
They are my baby Keelans!	Alanea Alder, My Guardian
Can I ride you next time? You can be my battle cat! That would be so cool!	Alanea Alder, My Guardian
you don't have the luxury of whipping out your dicks and seeing who's bigger	Alanea Alder, My Guardian
Come closer." His voice was more of a growl than a whisper. Hot.	Lisa Kessler, Blue Moon
His deep voice rumbled. "You are all that ever mattered to me.	Lisa Kessler, Blue Moon
Yes," he replied. "We are --- how do you say on Midgard -- between a hard place and tree.	Amanda  Carlson, Struck
In the light, he looked like a fallen angel asked to return to Hell.	Caroline Cairn, Forever Hers
I don't put bad people in the Void, Blayne. Only the guilty ones.	Caroline Cairn, Forever Hers
I do want you. More than my next breath.	Katie Reus, Into the Darkness
The most possessive part of Conall didn't want another male to even look at Rhea.	Katie Reus, Into the Darkness
I feel like my life started the moment I met you," he murmured.	Katie Reus, Into the Darkness
Only light comes out of darkness," she whispered.	Donna Grant, Smoke and Fire
All it takes is one small voice to make a difference." Thread	Shawn Reilly, Thread
If I'm moving too fast or coming on too hard...	N.D. Jones, Heat, Hunt, Hope
Turn your pain into purpose.	Nelou Keramati
And to think of all colors in the world, blood chose to be red." ~ The Fray Theory	Nelou Keramati
His shrill cries flood the forest like light engulfing a silhouette.	Nelou Keramati
By all that was holy, he wanted to kiss every inch of her at least a thousand times.	Donna Grant, Dawn's Desire
He's British," she replied in a whisper. "He thinks he's perfect.	Donna Grant, Dawn's Desire
Eternity might be captured in a single kiss.	Thea Harrison, Shadow's End
I can't mate with you and hope to live.	Thea Harrison, Shadow's End
You've got an empire to run, I'm just your arm candy.	Lisa Kessler, Ice Moon
This zipper only comes down for you.	Lisa Kessler, Ice Moon
I'm a pretty patient guy when it's something worth waiting for.	Lisa Kessler, Ice Moon
I'm not hurting you?" He shook his head with a crooked, very sexy smile. "Not yet.	Lisa Kessler, Ice Moon
Each would treasure going to hell if it would keep the other safe!	Sidney St. James
I felt absolutely nothing, and that frightened me even more than the darkness of oblivion	Catrina Burgess, Awakening
I could forgive you anything but taking my memories. You stepped over the line.	Donna Grant, Passion Ignites
They are like fucking roaches," Darius grumbled."The more you kill,the more you find.	Donna Grant, Passion Ignites
Have ye ever known a female who wasna a bit of a witch in her own sweet way?	Vonnie Davis, Bearing It All
A bear! I've landed on a wild and wicked bear!	Vonnie Davis, Bearing It All
Do ye always drool like that? Is it a family trait, lass?	Vonnie Davis, Bearing It All
What the feckin' hell is PMS, I'd like to ken?""Petty Male Shit," she yelled.	Vonnie Davis, Bearing It All
Driving a stolen plane will be nothing compared to the ride with a fired-up Scot.	Vonnie Davis, Bearing It All
I think...I shall call ye Beauty, for I shall be yer beast.	Vonnie Davis, Bearing It All
You're playing dirty," she whispered. "Did you want me any other way?	Lisa Kessler, Harvest Moon
Magic is just science we don't understand yet.	Jamey Dunn
But worries are for people who can’t pull grown men apart with their bare hands.	Eliza Crewe, Cracked
Oooooh, don’t make her mad!” the leader gasps around his laughter.	Eliza Crewe, Cracked
Easy, you're safe," said a deeply rich and sexy voice. "Lie back down.	Elena Kincaid, Alpha Blood
Everything made sense in a book...Too bad her life wasn’t fiction.	L.A. Kuehlke, Pursuit
You’re not his,” Bryan said firmly.  “Bry, I don’t know whose I am anymore.	L.A. Kuehlke, Delirium
Do you have some sort of anti-derangement medication? If so, you might wish to take it.	Katie MacAlister, Dragon Fall
How was I going to break it to my sister and brother that I was now a demon lord?	Katie MacAlister, Dragon Fall
It is the way of women to keep us humble, is it not?	Katie MacAlister, Dragon Fall
Too much talking and not enough writhing in ecstasy. You will commence writhing now.	Katie MacAlister, Dragon Fall
No, I didn't enjoy that in the least. Do it again so I can not enjoy it some more.	Katie MacAlister, Dragon Fall
I'm not at all the sort of woman who kisses strange dragons when she comes across them.	Katie MacAlister, Dragon Fall
Oh, boy," Jim said, giving an excited wiggle. "Cat fight! Wish I had some popcorn.	Katie MacAlister, Dragon Fall
I am a guardian of sorts.”- Liam (Marked Book #1) page 171	A.N. Meade, Marked
Is it wrong to protect your heart?”- Marc (Marked Book #1) page 130	A.N. Meade, Marked
So you are vampire then, my beauty?”- Damian (Marked Book #1) page 160	A.N. Meade, Marked
The last time he'd walked through a woman's dreams, she'd almost killed him.	Katie Reus, Retribution
She looks so broken, I don't want to hurt her more.	Dannielle Wicks, Fading Away
Everything I have ever wanted to be, every dream, every desire is reflected in your eyes.	Sarah Warden, Immortal Earth
When he was rough, my body soared. When he was gentle, he slayed me.	Juliette Cross, Windburn
But if you wake up and are feeling....needy...	Terry Spear, Jaguar Pride
I have about as much artistic talent as a cluster of colour-blind hedgehogs in a bag.	J.C. McKenzie, Beast Coast
Unfortunately on the road to Ankh everyone you love must die.Children of Ankh series	Kim Cormack, Sweet Sleep
The end of her life was only the beginning of her story.Sweet Sleep	Kim Cormack, Sweet Sleep
Been there, done that. I’m sure I’ve got a T-shirt somewhere to prove it.	Thea Harrison, Serpent's Kiss
It's only after you've lost everything that we're free to do anything.--Chuck Palahniuk	Lou Rera, SIGN
You," he purred, "are a HILF.""A what?""A Horseman I'd like to fuck.	Larissa Ione, Immortal Rider
Dust motes swirled in the air like tiny orbs of rainbows.	Micalea Smeltzer, Outsider
Brother Wolf gave Anna an amused look and then went back to being scary.	Patricia Briggs, Fair Game
When he grew up, he wanted to be like Charles.	Patricia Briggs, Fair Game
Love can heal. And forgive.	Donna Grant, Burning Desire
But sometimes a shattered view is the only way to see truth.	James D. Horton, Beast
Growl all you want. The sound is...appealing.	Katie Reus, Taste of Darkness
I don't have any tan lines because I sunbathe in the nude.	Robin Bielman, Veiled Target
It feels like I was made to fit here, in the space beneath his heart.	Caroline Greyling, Five
I am many things. Stupid is not one of them. Your wrath is impressive for a mortal.	Lisa Kessler, Night Child
I have never, since the dawn of mankind, been adorable.	Lisa Kessler, Night Child
It looks like a funeral parlour in here. Am I dead?	Jackie Williams, Echo Beach
Typical Xochi, leaving out important, death-related details.	J.T. Bock, A Surefire Way
To the thing that hurts you most. To the paranormal and to never being normal.	Karina Halle, Ashes to Ashes
My eyes meet his and I understand exactly what he's saying. He's my person. He's my home.	Jennifer Walkup, Second Verse
Did you mean what you said before? About the dead hanging around? You really believe it?	Jennifer Walkup, Second Verse
Extraordinary women who love and heal.	Jacki Delecki, An Inner Fire
I'd die of a broken heart before breaking yours.	Emm Cole, Keeping Merminia
There was something very fishy about Riley Bay.	Serra Elinsen, Awoken
Great. There goes our security deposit."~ Sean	Dianne Duvall, Darkness Rises
Rhys was hot enough to bake cookies on.	Dani Harper, Storm Warrior
Though lovers be lost, love shall not; And death shall have no dominion.-Dylan Thomas	Victoria Rice, Blood Ties
Gavin, Logan, Calix. Was there a sale on trendy names when they were born, or something?	Keri Lake, Soul Avenged
Romans and fairies and death dogs, oh my.	Dani Harper, Storm Warrior
Holyfuckingmancandy.	Virginia Nelson, Hypnotist
In the next instance Graham claimed her lips in a demanding, yet gentle kiss	Lia Davis, A Mating Dance
Don't ever apologize for being a little rough with me!	Lia Davis, A Mating Dance
I'm trying to go viral, but so far I'm just a sniffle	J.L. Madore
We're in high school. If it didn't come from the school cafeteria, we like it.	S.K.N. Hammerstone, The Rift
I wanted to hear him disappoint me in that sexy domineering way he always did.	Holly Hood, Black Moon
Phrase the question any way you like…The answer will still be ‘Kiss my ass.	M.A. George, Relativity
A pact must be kept and a secret must never be revealed ...”Pact of witches	Pet Torres, Pact of Witches
I'm still looking for books about them, as well as I am used to feed food every day.	Pet Torres, Pact of Witches
It’s a sad state of affairs when I’m the one bringing sanity to the equation	M.A. George, Relativity
Silence upon silence, with a heaping pile of extra silence.	M.A. George, Relativity
I’d seen weirder things than a haunted shoe, but not many.	Richelle Mead, Storm Born
I’m not punishing you.’ ‘No?’ ‘No. You’d know if I was. Trust me.	Lindsay J. Pryor, Blood Roses
Events That Haunt The Mind And Scar It With Nightmares Are Never What They Seem...	P.W. Creighton, Nightfall
I'm a Blackmoore, Felicity. I get what I want.	T.A. Grey, Take Me
Eyes sparkling with blue open and stare a scalded soul at me.	Poppet, Sveta
